SPECIES,M160a,M160b,M280a,M280b,M530a,M530b,M820a,M820b,M990a,M990b,M1220a,M1220b
Chromadoridae M5,1.191173956,6.603327537,0,0,0,0,0,0,0,0,0,0
Comesa M1,182.1131026,30.98188734,5.025813155,6.096402482,0,0,0,0,0,0,0,0
Comesa M2,1.203270016,3.620052219,0,0,0,0,0,0,0,0,0,0
Comesa M3,5.127001635,2.88262123,0,0,0,0,0,0,0,0,0,0
Comesa M4,1.900233501,0,0,0,0,0,0,0,0,0,0,0
Comesomatidae,0,0,0,0,0,0,0,0,0,0,1.274293354,0
Cyatholaiminae,0,4.021270596,0,0,0,0,2.6000914,0,2.447545182,0,0,3.631343212
Cyatholaiminae M1,0,0,0,0,0,0,0,0,0,0,1.48006512,2.607041358
Cyatholaimus,1.191173956,2.280094678,1.183018098,0,0,0,0,0,0,0,0,0
Cyatholaimus M1,0,2.960208756,2.366573199,1.209342047,0,0,0,0,0,0,0,0
Daptonema,8.199977,19.88547318,2.572245433,0,5.230428235,1.173433306,2.655209345,0,1.241135865,1.372789018,0,2.327989032
Daptonema M2,0,0,0,0,2.568731175,0,0,0,1.270450484,1.213202294,1.274293354,0
Daptonema M3,2.04999425,0,0,0,0,0,0,0,0,0,2.528585828,0
Daptonema M4,0,0,0,0,0,0,0,0,0,5.330997352,1.274293354,0
Daptonema M5,0,0,0,3.450905255,0,0,0,2.198406984,0,4.853381173,0,0
Daptonema nanus aff,0,2.960208756,0,2.419176096,3.884218389,6.005453978,0,4.396813968,13.7923027,9.129046968,5.437866373,2.322661064
Dasynemoides,0,2.960208756,0,0,0,1.193131227,0,0,0,0,0,0
Dasynemoides M1,0,0,0,0,0,0,0,0,1.270450484,0,0,0
Dasynemoides M2,0,0,0,0,0,0,0,0,0,0,1.264462413,0
Dasynemoides M3,0,0,1.439705638,0,0,0,0,0,0,0,0,0
Dasynemoides M4,0,0,1.439705638,0,0,0,0,0,0,0,0,0
Dasynemoides M5,1.538503693,1.340656528,0,0,0,0,0,0,0,0,0,0
Deontolaimus M1,0,0,1.25658754,1.120781604,4.045412455,8.636131455,1.548510451,0,0,0,0,0
Desmodora conica,0,0,0,3.697398487,0,0,0,0,0,0,0,0
Desmodora M2,0,0,0,1.367274836,0,0,0,0,0,0,0,0
Desmodora M3,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Desmodorella M1,1.538503693,1.340656528,1.183018098,2.330123651,0,0,0,0,0,3.958208334,0,0
Desmodorella M2,0,15.52169909,0,0,0,0,0,0,0,0,0,0
Desmodorinae,1.203270016,3.721405293,0,0,0,0,0,0,0,0,0,0
Desmodorinae M2,0,1.340656528,0,0,0,0,0,0,0,0,0,0
Desmoscolecidae,0,0,1.183018098,3.5399577,3.946062647,2.92011632,0,2.347466475,2.48227173,1.213202294,3.644567133,3.483825097
Desmoscolex,0,0,0,1.209342047,3.814394227,1.173433306,0,2.496084961,4.865775745,6.260489916,0,3.489153065
Desmoscolex abyssorum,0,0,1.183018098,3.628518143,0,0,0,0,0,0,0,0
Desmoscolex asetosus,0,0,1.183018098,0,1.284365588,0,0,0,0,0,0,0
Desmoscolex bathyalis,0,0,0,1.209342047,0,0,0,3.446449464,1.270450484,0,0,1.161164033
Desmoscolex coronatus,0,0,0,0,0,0,0,0,2.582843423,4.117795058,0,0
Desmoscolex decraemerae,2.04999425,2.960208756,0,0,0,0,0,0,0,0,0,0
Desmoscolex M10,0,0,0,0,0,0,0,0,0,0,1.264462413,0
Desmoscolex M11,0,0,0,0,0,0,0,0,0,0,1.274293354,0
Desmoscolex M12,0,0,0,0,0,0,0,0,0,1.213202294,0,0
Desmoscolex M13,0,0,1.183018098,0,0,0,0,0,0,1.248094015,0,0
Desmoscolex M14,0,0,0,0,0,0,0,0,0,2.74500604,0,0
Desmoscolex M15,0,0,0,0,0,0,0,2.347466475,0,0,0,0
Desmoscolex M17,0,0,0,0,0,2.346866613,0,0,0,0,0,0
Desmoscolex M18,0,0,0,0,0,1.173433306,0,0,0,0,0,0
Desmoscolex M19,0,0,0,0,0,1.173433306,0,0,0,0,0,0
Desmoscolex M20,0,0,0,0,0,1.173433306,0,0,0,0,0,0
Desmoscolex M21,0,0,1.183018098,0,0,1.173433306,0,0,0,0,0,0
Desmoscolex M22,0,0,1.183018098,0,0,0,0,0,0,0,0,0
Desmoscolex M23,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Desmoscolex M24,0,0,0,1.367274836,0,0,0,0,0,0,0,0
Desmoscolex M25,2.04999425,0,0,0,0,0,0,0,0,0,0,0
Desmoscolex M26,0,1.340656528,0,0,0,0,0,0,0,0,0,0
Desmoscolex M27,0,0,0,0,0,1.72738709,0,1.09898299,0,0,0,0
Desmoscolex M28,0,0,1.25658754,0,0,0,0,0,0,0,0,0
Desmoscolex M29,0,0,0,0,0,0,0,0,0,1.372789018,0,0
Desmoscolex M30,0,0,0,0,0,0,0,0,1.241135865,0,0,0
Desmoscolex M31,0,0,0,1.209342047,0,0,0,1.24804248,0,1.213202294,0,0
Desmoscolex M32,0,0,0,0,0,0,0,1.09898299,0,0,0,0
Desmoscolex M33,0,0,0,0,0,0,1.106698893,0,0,0,0,0
Desmoscolex macrophasmata,0,0,1.183018098,2.419176096,0,0,0,0,0,0,0,1.166824999
Desmoscolex membranifer,2.04999425,0,0,0,2.568731175,12.74495702,0,0,0,0,0,0
Desmoscolex parabyssorum,0,0,0,0,0,8.272724909,0,0,0,0,0,0
Desmoscolex paralongisetosus,0,0,0,0,0,0,1.106698893,0,1.727307545,0,0,0
Desmoscolex variabilis,0,0,0,0,0,0,3.368704631,3.271370714,2.48227173,7.47369221,3.793048242,0
Dichromadora,0,0,0,0,0,1.193131227,0,0,0,0,0,0
Dichromadora cucullata,2.406540033,14.52075011,3.622623736,7.415461077,3.914941021,10.01940792,22.58707341,12.53775538,17.49135661,23.79272166,4.918860487,8.577362536
Dichromadora M2,0,0,2.366573199,1.367274836,0,0,2.262005738,0,1.177094698,5.081607347,1.264462413,2.446869319
Dichromadora M3,0,0,0,0,0,0,0,0,1.177094698,0,0,0
Diplopeltoides,0,0,0,1.367274836,0,0,0,0,0,0,0,0
Diplopeltoides M2,0,0,0,0,0,0,0,0,0,0,2.528585828,0
Diplopeltoides M3,0,0,0,0,0,0,1.106698893,0,0,0,0,0
Diplopeltoides M4,0,0,0,0,0,0,0,1.09898299,0,0,0,0
Diplopeltoides M5,0,0,0,0,0,0,0,0,1.270450484,0,0,1.166824999
Diplopeltoides M6,0,0,0,3.406133031,2.491326104,1.173433306,0,0,9.837535112,4.922592619,7.669489983,8.418855487
Diplopeltoides M7,0,0,0,0,0,0,2.6000914,1.07296373,0,0,1.274293354,0
Diplopeltoides M8,0,0,1.439705638,0,0,0,0,0,0,0,0,0
